LoanCurrentDaysDelinquent,LP_CustomerPrincipalPayments,LP_GrossPrincipalLoss,LP_CustomerPayments,LP_InterestandFees,LP_ServiceFees,MonthlyLoanPayment,AvailableBankcardCredit,RevolvingCreditBalance
3,88.64,0.0,135.8174,47.1774,-3.4,137.39,3626.0,8624.0
140,209.75,3790.25,521.13,311.38,-9.81,173.71,178.0,9103.0
193,117.73,1882.27,236.01,118.28,-4.89,78.67,607.0,7975.0
0,4000.0,0.0,4725.35,725.35,-25.81,124.76,3619.0,2033.0
0,4000.0,0.0,4594.48,594.48,-64.62,0.0,30794.0,7246.0
0,9994.95,0.0,10681.27,686.32,-68.22,322.62,25779.0,4307.0
0,16000.0,0.0,17544.95,1544.95,-196.82,500.28,3859.0,41.0
414,430.97,1569.03,890.63,459.66,-17.43,80.07,4444.0,8477.0
0,3000.0,0.0,3394.57,394.57,-14.79,287.6,955.0,17778.0
0,4500.0,0.0,6139.2,1639.2,-63.07,181.28,4814.0,11108.0
298,1468.11,1031.89,2721.75,1253.64,-39.2,108.87,2006.0,892.0
190,69.6,3930.4,166.73,97.13,-3.4,166.73,2408.0,3208.0
0,5600.0,0.0,6106.15,506.15,-46.07,183.31,7682.0,7168.0
19,445.2,0.0,1006.7068,561.5068,-19.27,168.32,535.0,3726.0
579,71.64,3928.36,168.89,97.25,-3.29,168.89,33982.0,2138.0
0,4000.0,0.0,5581.71,1581.71,-45.97,169.78,3031.0,22591.0
0,4000.0,0.0,4650.78,650.78,-20.34,174.2,43.0,10173.0
0,3500.0,0.0,4479.23,979.23,-25.64,152.83,1193.0,1007.0
513,179.72,6820.28,615.03,435.31,-17.48,205.01,10975.0,26085.0
314,144.77,3855.23,345.52,200.75,-6.41,172.76,19359.0,5641.0
0,10000.0,0.0,12197.15,2197.15,-164.22,322.34,9420.0,21044.0
384,1119.05,13880.95,3968.89,2849.84,-49.41,579.63,502.0,28228.0
831,37.27,1962.73,176.64,139.37,-1.64,81.64,1079.0,2130.0
167,209.75,3790.25,521.13,311.38,-9.81,173.71,16554.0,9899.0
0,2000.0,0.0,2275.69,275.69,-22.33,66.75,596.0,10796.0
0,3000.0,0.0,4349.72,1349.72,-43.53,129.0,258.0,1860.0
386,511.84,3488.16,1518.39,1006.55,-28.88,173.71,40.0,3768.0
0,10000.0,0.0,10809.1941,809.1941,-36.64,277.61,4034.0,8296.0
121,23.82,2976.18,127.34,103.52,-5.9,127.34,928.0,72.0
11,1117.31,0.0,2244.64,1127.33,-37.6,106.12,76.0,1424.0
0,5000.0,0.0,5702.8,702.8,-69.65,161.55,7176.0,1222.0
0,2200.0,0.0,2246.49,46.49,-6.53,68.05,76764.0,816.0
0,15000.0,0.0,18450.34,3450.34,-184.34,383.35,1576.0,14124.0
208,702.35,3297.65,1707.1,1004.75,-31.64,173.71,1508.0,742.0
0,2999.99,0.0,3285.07,285.08,-13.13,113.87,860.0,640.0
0,8999.99,0.0,10352.11,1352.12,-145.38,283.91,38139.0,21703.0
0,10000.0,0.0,10669.17,669.17,-26.78,397.55,4194.0,33934.0
0,6500.0,0.0,7240.71,740.71,-80.5,207.3,15416.0,2875.0
170,292.65,5207.35,707.07,414.42,-13.48,235.69,8306.0,4752.0
150,2155.59,3844.41,3748.8,1593.21,-67.39,234.3,39615.0,2785.0
298,1134.65,2865.35,2431.94,1297.29,-40.84,173.71,2621.0,3029.0
0,3800.0,0.0,5085.37,1285.37,-49.46,153.08,10.0,3068.0
0,3000.01,0.0,3110.04,110.03,-6.79,105.78,78.0,422.0
0,2999.99,0.0,4522.19,1522.2,-52.12,0.0,849.0,3155.0
223,1868.35,2131.65,3658.2,1789.85,-55.97,174.2,1803.0,697.0
173,3702.74,6297.26,4159.75,457.01,-29.32,349.55,0.0,26084.0
0,5499.98,0.0,7313.58,1813.6,-92.08,203.56,14448.0,7652.0
0,7000.0,0.0,7139.3523,139.3523,-11.51,229.14,2456.0,4135.0
0,8000.0,0.0,8103.9182,103.9182,-8.74,178.72,7881.0,21800.0
0,2000.0,0.0,2216.84,216.84,-24.11,63.59,9303.0,12833.0
0,2000.0,0.0,2427.7,427.7,-17.12,79.51,5743.0,3188.0
0,7500.0,0.0,11035.23,3535.23,-109.79,327.49,1184.0,11847.0
0,10000.0,0.0,10449.78,449.78,-55.07,870.67,8846.0,154.0
0,1499.5,0.0,1944.62,445.12,-22.14,55.82,11948.0,10202.0
0,5000.0,0.0,5740.31,740.31,-26.91,205.47,3044.0,6608.0
0,3000.0,0.0,4223.04,1223.04,-51.42,117.37,846.0,11874.0
783,206.06,5793.94,519.26,313.2,-9.95,259.63,1997.0,273.0
359,432.04,2067.96,949.95,517.91,-17.51,105.55,321.0,23464.0
0,4000.0,0.0,4437.11,437.11,-13.76,173.71,578.0,1422.0
313,764.65,3235.35,1737.1,972.45,-30.62,173.71,942.0,8256.0
0,7500.0,0.0,10414.46,2914.46,-91.09,326.62,2470.0,14227.0
0,2500.0,0.0,4076.33,1576.33,-45.08,113.02,524.0,38094.0
0,4000.0,0.0,4775.21,775.21,-24.41,173.71,502.0,3298.0
0,4500.0,0.0,5481.67,981.67,-70.63,153.58,24726.0,13257.0
332,1742.48,5257.52,2812.37,1069.89,-57.1,255.67,402.0,10598.0
0,10000.0,0.0,13789.98,3789.98,-145.82,402.85,284.0,97176.0
0,4000.0,0.0,5223.92,1223.92,-43.1,166.3,4561.0,10818.0
575,403.88,4621.12,776.72,372.84,-16.3,194.18,315.0,2677.0
269,2074.47,425.53,3469.98,1395.51,-49.16,101.06,0.0,3228.0
1059,80.46,3919.54,163.28,82.82,-3.07,163.28,19300.0,8884.0
0,1499.1,0.0,2163.99,664.89,-19.3,67.3,0.0,0.0
0,15000.0,0.0,17594.79,2594.79,-186.69,511.94,16714.0,13595.0
0,7500.0,0.0,10398.14,2898.14,-105.39,308.2,16384.0,15716.0
227,590.38,3409.62,1389.68,799.3,-25.16,173.71,1800.0,4512.0
0,1999.99,0.0,2373.68,373.69,-7.96,86.85,3500.0,0.0
641,599.56,1400.44,1127.98,528.42,-20.31,80.57,5350.0,14568.0
1010,2185.86,2814.13,2722.72,536.86,-56.51,160.16,29576.0,19601.0
0,1999.99,0.0,2212.5,212.51,-11.19,184.31,1245.0,46305.0
0,2499.99,0.0,4056.88,1556.89,-38.04,111.68,150.0,8910.0
0,3000.0,0.0,3159.34,159.34,-6.38,285.12,676.0,1074.0
0,4500.0,0.0,5060.45,560.45,-19.21,188.55,330.0,7371.0
0,4000.0,0.0,5285.74,1285.74,-40.48,173.71,4658.0,3262.0
0,4000.0,0.0,4640.53,640.53,-46.26,136.42,2892.0,1886.0
163,919.77,3080.23,1772.76,852.99,-32.81,161.16,523.0,3587.0
0,7500.0,0.0,9911.23,2411.23,-75.35,326.62,21981.0,79959.0
0,4000.0,0.0,4528.42,528.42,-22.54,377.14,4120.0,5346.0
0,7000.0,0.0,9296.63,2296.63,-85.1,285.74,27526.0,99234.0
163,525.16,2474.84,880.0,354.84,-18.67,110.0,3.0,19005.0
0,4700.0,0.0,5262.17,562.17,-61.1,149.9,4031.0,12349.0
0,11000.0,0.0,12829.1,1829.1,-86.11,299.07,32521.0,5273.0
260,122.14,3877.86,128.65,6.51,-0.22,128.65,30.0,3511.0
1049,1882.61,6117.39,4565.45,2682.84,-46.9,350.66,3238.0,3709.0
0,4000.0,0.0,5361.86,1361.86,-41.23,136.98,414.0,695.0
0,6950.0,0.0,7421.24,471.24,-38.5,618.28,6802.0,8079.0
0,20000.0,0.0,23325.61,3325.61,-322.86,648.16,23149.0,26027.0
0,10000.0,0.0,11134.73,1134.73,-42.27,327.86,42128.0,58042.0
0,7500.0,0.0,9895.8,2395.8,-68.59,336.52,139.0,2123.0
136,492.74,3507.26,891.04,398.3,-12.71,172.76,3187.0,6335.0
0,9000.0,0.0,9868.58,868.58,-40.89,340.19,2169.0,6749.0
0,10000.0,0.0,11813.56,1813.56,-162.63,328.1,20389.0,23277.0
386,2426.77,12573.23,4770.56,2343.79,-93.79,596.32,14176.0,4824.0
0,2499.99,0.0,3237.36,737.37,-21.69,111.68,6352.0,4368.0
538,2558.49,4941.51,5692.54,3134.05,-92.18,326.62,14504.0,46420.0
892,1352.92,6147.08,2770.2,1417.28,-51.72,307.8,2535.0,5907.0
320,1061.0,2939.0,2350.12,1289.12,-42.16,171.08,1223.0,4450.0
980,122.85,7377.15,326.62,203.77,-6.37,326.62,1019.0,4731.0
0,3999.99,0.0,5274.21,1274.22,-40.11,173.71,0.0,1233.0
0,7000.0,0.0,8136.7,1136.7,-70.62,246.41,6636.0,5300.0
0,7000.0,0.0,7379.9,379.9,-18.58,187.21,47.0,4037.0
0,13500.0,0.0,17362.1,3862.1,-214.7,487.99,12099.0,14101.0
0,10000.0,0.0,10153.56,153.56,-6.63,283.0,19315.0,29850.0
0,2500.0,0.0,2938.54,438.54,-30.26,86.04,3839.0,4041.0
272,650.71,9349.29,2332.2,1681.49,-67.33,293.4,16871.0,6333.0
0,14584.06,0.0,18996.74,4412.68,-215.44,538.21,3645.0,3822.0
956,1779.08,3220.93,3458.4,1679.32,-46.29,205.2,1421.0,4865.0
0,4000.0,0.0,4085.35,85.35,-7.25,354.96,2914.0,17586.0
631,69.26,3930.74,173.71,104.45,-3.29,173.71,11510.0,8000.0
0,4999.93,0.0,5990.72,990.79,-36.04,205.47,14159.0,24639.0
545,616.92,383.08,942.0,325.08,-15.46,37.68,0.0,2866.0
75,3159.14,0.0,5143.32,1984.18,-73.5,183.69,467.0,2033.0
0,15000.0,0.0,17423.82,2423.82,-161.58,519.98,43471.0,865.0
0,5000.0,0.0,6105.95,1105.95,-49.02,192.38,1344.0,11344.0
0,3000.0,0.0,4052.92,1052.92,-38.27,123.28,205.0,546.0
0,10000.0,0.0,13270.67,3270.67,-125.84,402.85,2845.0,137172.0
0,1500.0,0.0,1693.37,193.37,-5.91,65.91,673.0,7359.0
0,2000.0,0.0,2050.52,50.52,-3.94,178.44,2074.0,8708.0
0,6289.57,0.0,8300.68,2011.11,-62.69,273.9,938.0,187.0
958,1046.15,1953.86,2307.07,1260.92,-36.01,135.71,1907.0,43.0
0,21500.0,0.0,29339.95,7839.95,-332.21,839.0,7900.0,0.0
0,4000.0,0.0,4806.36,806.36,-31.33,160.61,107.0,521.0
0,10000.0,0.0,12528.29,2528.29,-100.72,398.18,579.0,7377.0
162,1884.25,5615.75,3625.68,1741.43,-67.0,302.14,21221.0,29612.0
0,3200.0,0.0,3445.68,245.68,-11.19,122.19,377.0,1076.0
0,10000.0,0.0,10540.02,540.02,-24.16,278.18,3198.0,902.0
0,2100.01,0.0,2618.88,518.87,-19.96,84.61,103.0,597.0
